"","area","city","an_mean_Tmean","an_se_Tmean","an_mean_Tmin","an_se_Tmin","an_mean_Tmax","an_se_Tmax","win_mean_Tmean","win_se_Tmean","win_mean_Tmax","win_se_Tmax","win_mean_Tmin","win_se_Tmin","n_days","mou_mean_Tmean","mou_se_Tmean","mou_mean_Tmin","mou_se_Tmin","mou_mean_Tmax","mou_se_Tmax"
"1","Rural","Gothenburg",8.84901350083926,0.285272242969205,6.37432862464593,0.269811952291581,11.6213148087365,0.32303813711752,3.29549992633984,0.300312035718591,4.86908322450084,0.289030828349812,1.55799996517599,0.327892114713457,120,16.4820488119254,0.283115222882119,13.0062292174848,0.261953648859052,20.3439339715071,0.347818392125264
"2","Rural","Lisbon",17.4511502948679,0.249437590289537,13.1987668282722,0.217240983532801,22.1359173134429,0.297191861186574,12.263249725895,0.200671458083081,15.8984996446408,0.178911098991056,8.61108314086062,0.250250339532626,120,23.2449994804338,0.30449326563254,17.1528684690625,0.209032173935866,29.7673763838276,0.41718453670342
"3","Rural","Madrid",13.7249312000732,0.350562181493325,8.35679433375904,0.290995302702526,19.1006023127943,0.429403452239275,5.96958319990275,0.262337482736074,9.92399977818132,0.314365041529211,2.02849995465949,0.2782667795482,120,21.704589678799,0.34054837876246,14.4183603334622,0.316564380141074,28.9840157455994,0.407498109873622
"4","Rural","Malmo",8.41797241458338,0.392606696256594,4.65378071789771,0.361570237054943,12.2419723291103,0.444134015128668,0.729583317025876,0.417069018743082,2.89924993519672,0.372705092133237,-1.50266663307945,0.506117214362554,120,15.4127865407433,0.256402028743514,10.9191800838062,0.25813766572934,19.943114308335,0.325479599490681
"5","Rural","Milan",11.7649312438826,0.311103920206589,7.72271215615106,0.27083532753964,16.6233968887121,0.379450910684288,4.49616656616951,0.254512165227896,7.81041649209025,0.287009333652689,1.9099166239767,0.26977795267023,120,19.4292618608041,0.306040701941732,13.9921308347925,0.273368297403611,25.5636879531972,0.363784335842612
"6","Urban","Gothenburg",9.06509568779027,0.283944544429422,6.64989026232226,0.270682713003319,11.7544928879515,0.319820061083906,3.57008325353575,0.29514928136162,5.11516655233379,0.277884962416063,1.94074995662085,0.324998337107716,120,16.6656553651985,0.270193489377449,13.2486882284589,0.258813005711128,20.6025405231039,0.337570100112381
"7","Urban","Lisbon",17.2210133137105,0.234333823424555,13.9551229757499,0.21406500985836,21.1743556910998,0.275209997739966,12.5359163864671,0.199727593496116,15.5588329855663,0.182237650630037,9.62458311820713,0.234701512564724,120,22.4656552355584,0.311844547225633,18.1291799226501,0.232726615226286,27.8071305260032,0.395861533422679
"8","Urban","Madrid",15.5276160912869,0.361766875326286,9.25693129994077,0.313070570567297,21.7687666367178,0.435630658455275,7.21549983872101,0.268392862372518,12.4205830557117,0.317562957739317,2.02641662137272,0.3452059916735,120,23.7393437316794,0.322066290549149,16.0220488222072,0.292654730297541,31.4897533945098,0.401860089294618
"9","Urban","Malmo",8.82920528210395,0.394961846672969,5.22493139006298,0.364282720920416,12.7982462892794,0.445138476873033,1.00083331096297,0.408218289140499,3.19983326181148,0.371259449764051,-1.0379999767989,0.469540867229494,120,16.0774586570342,0.259863604199746,11.9313112087242,0.236100127299789,20.766147076824,0.351662050150825
"10","Urban","Milan",14.3364106384604,0.346115423736991,9.51435595172113,0.311500747384163,19.671068053468,0.41440046872825,5.89883320148413,0.305637481504533,10.0336664423967,0.324496951711442,2.6309166078611,0.340330240553239,120,22.5929503146803,0.314359786058648,15.816393089099,0.290899771328825,28.9909009913471,0.36189204534734
